K*Chen/K*Hertz																							K*Tu/K*Hertz
n = 0            		n = 0.1         		n = 0.2         		n = 0.3         		n = 0.4          		n = 0.5													
dR/h2      	K/KH       	dR/h2   	K/KH     	dR/h2    	K/KH    	dR/h2    	K/KH      	dR/h2     	K/KH     	dR/h2     	K/KH     	dR/h2     	K/KH										
0.004651142	0.929619669	0.004646862	0.927878952	0.004639688	0.924963955	0.004627824	0.920150919	0.004607847	0.912065836	0.00457242	0.897783943	0.004657206	0.940252549
0.004715218	0.929136926	0.004710846	0.927383639	0.004703521	0.924449063	0.004691408	0.919603683	0.004671012	0.911464232	0.004634841	0.897087012	0.004721407	0.939786433
0.004780622	0.92864643	0.00477616	0.926881491	0.004768681	0.923927051	0.004756312	0.919048881	0.004735483	0.910854622	0.004698548	0.896380576	0.004786943	0.93931835
0.004847399	0.92814981	0.004842842	0.926372369	0.004835204	0.923397802	0.004822571	0.918486413	0.0048013	0.910236552	0.004763577	0.895664011	0.004853852	0.938830277
0.004915587	0.927645454	0.00491093	0.925856137	0.004903128	0.922861148	0.004890224	0.917916143	0.004868497	0.909609635	0.004829961	0.894938423	0.004922175	0.938339943
0.004985218	0.927134271	0.004980463	0.925332685	0.004972493	0.922317057	0.004959311	0.917337897	0.004937114	0.908974195	0.00489775	0.894202526	0.00499195	0.937833406
0.005056345	0.926616162	0.005051484	0.924801759	0.005043341	0.921765201	0.005029872	0.9167514	0.005007192	0.90832972	0.004966972	0.893455729	0.005063222	0.937334239
0.005129002	0.926089796	0.005124034	0.924263234	0.005115712	0.921205412	0.005101949	0.916156499	0.005078772	0.907676028	0.005037672	0.892698455	0.005136026	0.936832291
0.005203232	0.925556741	0.005198158	0.923717061	0.005189653	0.920637639	0.005175585	0.915553154	0.005151898	0.9070132	0.005109888	0.89193036	0.005210413	0.936298137
0.005279093	0.925015267	0.005273903	0.923162932	0.005265208	0.920061872	0.005250828	0.914934462	0.005226615	0.906340492	0.005183669	0.891151609	0.00528643	0.935773654
0.005356613	0.924466564	0.005351314	0.92260062	0.005342428	0.919477274	0.005327648	0.914320778	0.005302966	0.905658242	0.00525906	0.890361479	0.005364118	0.935239253
0.005435868	0.923909786	0.005430441	0.922030139	0.005421352	0.918883937	0.005406319	0.91369712	0.005381005	0.904965939	0.005336106	0.8895595	0.005443534	0.934680185
0.005516883	0.923343647	0.005511337	0.921450735	0.005502039	0.918282639	0.005486673	0.913050773	0.005460775	0.904263184	0.005414852	0.888746476	0.005524727	0.93398584
0.005599723	0.922770219	0.005594046	0.920863718	0.005584545	0.91767205	0.005568818	0.912401384	0.005542331	0.903550684	0.005495363	0.887921335	0.005607793	0.93358955
0.005684446	0.922187833	0.005678645	0.920267934	0.005668917	0.917052176	0.005652827	0.911743449	0.005625732	0.902827337	0.005577677	0.887083346	0.005692648	0.933972193
0.005771102	0.921597338	0.005765171	0.919662088	0.005755217	0.91642308	0.005738753	0.911075043	0.005711026	0.902092779	0.005661853	0.886233211	0.005779194	0.93228195
0.005859767	0.920996976	0.005853688	0.919047402	0.005843502	0.915784228	0.005826652	0.910396319	0.005798275	0.901347248	0.00574795	0.885370061	0.005868434	0.930701328
0.005950477	0.920387046	0.00594426	0.918423374	0.005933833	0.915135654	0.005916585	0.909707316	0.005887537	0.900590401	0.005836022	0.884493916	0.005959318	0.931121729
0.006043316	0.9197686	0.006036949	0.91778968	0.006026274	0.914477119	0.006008616	0.909007631	0.005978877	0.899821893	0.005926135	0.883604293	0.006052425	0.930340929
0.006138343	0.919139929	0.006131823	0.917146115	0.006120892	0.91380829	0.00610281	0.908297095	0.006072357	0.899041506	0.006018348	0.882700953	0.00614769	0.929918941
0.006235627	0.918501521	0.00622895	0.916492431	0.006217755	0.913128858	0.006199236	0.907575426	0.006168048	0.898248802	0.006112731	0.881783685	0.00624519	0.929426206
0.006335243	0.917852913	0.006328403	0.915828396	0.006316935	0.912438867	0.006297965	0.906842379	0.006266015	0.897443616	0.006209349	0.880851912	0.006345005	0.928923007
0.006437262	0.917194025	0.006430257	0.915153751	0.006418507	0.911737926	0.006399071	0.906097718	0.006366335	0.896625811	0.006308276	0.879905483	0.006447198	0.928104371
0.006541767	0.916524625	0.006534588	0.914468293	0.006522549	0.911025541	0.00650263	0.905341072	0.006469083	0.895794865	0.006409584	0.878943994	0.006551977	0.927335655
0.006648837	0.915844416	0.00664148	0.913771721	0.00662914	0.910301629	0.006608723	0.904572177	0.006574337	0.894950521	0.006513351	0.87796708	0.006659271	0.926692106
0.006758559	0.915152883	0.006751014	0.91306372	0.006738364	0.909565974	0.006717433	0.903790765	0.00668218	0.89409248	0.006619657	0.87697447	0.006769265	0.925952139
0.006871015	0.914449976	0.006863281	0.91234407	0.006850309	0.908818207	0.006828847	0.902996556	0.006792698	0.893220376	0.006728586	0.875965474	0.006881979	0.925205959
0.006986304	0.913735353	0.006978371	0.911612474	0.006965067	0.908058023	0.006943055	0.902189261	0.00690598	0.892333779	0.006840222	0.874939932	0.006997573	0.92443685
0.007104514	0.913008726	0.007096379	0.910868624	0.007082732	0.907285129	0.007060153	0.901368222	0.007022116	0.891432645	0.00695466	0.873897591	0.007116079	0.924093342
0.007225752	0.912273756	0.007217405	0.910112206	0.007203403	0.906499202	0.007180233	0.900533568	0.007141209	0.890516357	0.007071992	0.872837754	0.007237477	0.923485321
0.007350183	0.911517287	0.007341554	0.909342905	0.007327184	0.905699907	0.007303406	0.899684864	0.007263354	0.8895844	0.007192316	0.871759957	0.007362088	0.922252996
0.007477708	0.910750565	0.007468932	0.908560404	0.007454181	0.904886905	0.007429773	0.898821433	0.007388659	0.88863647	0.007315733	0.870663895	0.007490078	0.921503882
0.007608678	0.909965497	0.007599654	0.907764392	0.007584509	0.904059838	0.007559448	0.897943096	0.00751723	0.887672663	0.007442352	0.869549678	0.007621285	0.920636193
0.007742847	0.909205374	0.007733837	0.906954466	0.007718283	0.903218404	0.007692544	0.897049716	0.007649192	0.88669202	0.007572293	0.868413675	0.007756153	0.919679612
0.0078815	0.908378033	0.007871605	0.906130151	0.007855628	0.902362	0.00782919	0.896140249	0.007784654	0.885694327	0.007705614	0.867262168	0.007894509	0.919059858
0.008022613	0.907555168	0.008013085	0.905291471	0.007996667	0.901490336	0.007969499	0.89521415	0.007923755	0.884678172	0.007842577	0.866090841	0.008036624	0.918149217
0.00816869	0.906730353	0.008158419	0.904437238	0.008141538	0.900603837	0.008113605	0.894272738	0.008066595	0.883539962	0.007983197	0.864893021	0.008182619	0.917202515
0.008317904	0.905876064	0.008307729	0.903567411	0.008290394	0.899700748	0.008261669	0.893315293	0.008210686	0.882612611	0.008127585	0.863675992	0.008332659	0.916388197
0.008471981	0.905022172	0.008461176	0.902682952	0.008443355	0.898781101	0.008413838	0.892339301	0.008364136	0.88161733	0.008275942	0.862439012	0.008486796	0.915718545
0.008629957	0.904126801	0.00861893	0.90178169	0.008600599	0.897844495	0.008570243	0.891344265	0.008519116	0.880430357	0.008428401	0.861180381	0.008645199	0.914741668
0.00879243	0.903229019	0.008781127	0.900862652	0.008762263	0.896890611	0.008731034	0.890330687	0.008678434	0.879319642	0.008585148	0.859895175	0.008808162	0.9136134
0.008959464	0.902312249	0.008947935	0.899927423	0.008928537	0.895919485	0.008896377	0.889300155	0.008842275	0.878187459	0.008746231	0.858586805	0.008975791	0.912725993
0.009131278	0.901388481	0.009119557	0.898974165	0.009099594	0.894928208	0.009066497	0.888249377	0.00901077	0.877034496	0.008911925	0.857256291	0.009148196	0.911777451
0.009308317	0.900449786	0.009296146	0.898002564	0.009275575	0.893919084	0.009241513	0.887178401	0.009184149	0.875860333	0.009082368	0.855899601	0.009325654	0.910786619
0.009490613	0.899478705	0.009477924	0.897012712	0.009456738	0.89289162	0.00942167	0.886087009	0.009362572	0.874662941	0.009257749	0.854516472	0.009508281	0.9097875
0.009678164	0.89848515	0.009665085	0.896003032	0.009643258	0.891843028	0.009607124	0.884973906	0.009546243	0.873442505	0.009438235	0.853107741	0.009696357	0.908668095
0.009871272	0.897473612	0.009857837	0.894973599	0.009835345	0.890774118	0.009798112	0.883839698	0.009735366	0.872198802	0.009624077	0.851671571	0.009890079	0.90764463
0.010070094	0.896453493	0.010056413	0.893924081	0.010033233	0.889684156	0.009994851	0.882682868	0.009930179	0.870930126	0.009815441	0.850206634	0.010089625	0.906584108
0.010275256	0.895408494	0.010261054	0.89285333	0.010237151	0.888572126	0.010197572	0.881502877	0.010130879	0.869636053	0.010012568	0.84871331	0.010295291	0.905459108
0.010486542	0.894344853	0.010472	0.891760783	0.010447344	0.887437707	0.010406521	0.880299201	0.010337729	0.868316435	0.01021569	0.847190131	0.010507294	0.904336172
0.010704727	0.893257526	0.010689517	0.890646017	0.010664078	0.886280184	0.010621957	0.879803874	0.010550976	0.866969927	0.010425052	0.845636183	0.010725914	0.903109731
0.01092957	0.892137768	0.01091388	0.889508201	0.010887624	0.885098829	0.010869886	0.878582549	0.010770887	0.865595823	0.010640909	0.844050783	0.010951463	0.901935872
0.011161505	0.891003301	0.01114538	0.88834664	0.011118274	0.883892852	0.011104255	0.875663245	0.010997742	0.864194271	0.010863539	0.84243282	0.011184149	0.900738245
0.011400974	0.889845044	0.011384322	0.887160571	0.011356327	0.882661436	0.011309967	0.874315429	0.011231867	0.862761454	0.011093221	0.840781236	0.011424362	0.899455392
0.0116482	0.88866085	0.011631028	0.885949315	0.011602106	0.881403962	0.011554208	0.873897995	0.011473483	0.861298862	0.01133026	0.839095115	0.011672383	0.89818803
0.011903566	0.88745418	0.011885841	0.88471198	0.01185595	0.880119498	0.011806444	0.872535575	0.011723009	0.8598066	0.011574972	0.837373349	0.011928567	0.896880576
0.012167507	0.886217106	0.012149116	0.883447698	0.012118215	0.878807072	0.01206703	0.871143612	0.01198076	0.858281329	0.011827694	0.83561475	0.01219327	0.895535713
0.01244019	0.884954498	0.012421235	0.882155678	0.012389276	0.877465866	0.012336335	0.869721175	0.012247102	0.856722921	0.012088775	0.833818165	0.012466885	0.894144678
0.012722269	0.883664726	0.012702598	0.880834927	0.012669531	0.87609497	0.012614754	0.868267357	0.012522421	0.85513026	0.012358591	0.83197837	0.012749813	0.892728361
0.013013986	0.88234386	0.012993627	0.879484534	0.012959402	0.874693354	0.012902702	0.866781067	0.012807127	0.85350212	0.012637361	0.830107329	0.013042477	0.891048134
0.013315873	0.880994054	0.013294772	0.878103439	0.013259333	0.873259974	0.01320062	0.865261222	0.013101646	0.851837414	0.012926024	0.828191706	0.01334552	0.889964553
0.013628376	0.879611303	0.013606503	0.87669062	0.013569795	0.871793775	0.013508973	0.863706672	0.013406439	0.850134933	0.013224496	0.826226716	0.01365871	0.887816109
0.013951932	0.878198546	0.013929327	0.875245058	0.013891287	0.870293617	0.013828254	0.862115348	0.013721987	0.848393413	0.013533416	0.824220882	0.013984145	0.885277366
0.014287232	0.876752924	0.014263774	0.873765541	0.014224338	0.868758314	0.01415894	0.860488943	0.014048806	0.846611411	0.013853287	0.822168619	0.014321008	0.885817961
0.014634729	0.875271695	0.01461041	0.872250834	0.014569508	0.867186637	0.014501722	0.858823528	0.014387434	0.84478746	0.014184614	0.820068674	0.014668614	0.885041773
0.014995066	0.873755249	0.014969832	0.870699685	0.014927393	0.865577247	0.014857049	0.857117101	0.014738446	0.842920399	0.01452797	0.817919478	0.015029707	0.881602644
0.015368869	0.87220194	0.015342677	0.869110977	0.015298623	0.863928919	0.015225602	0.85537011	0.015102465	0.841008254	0.014883939	0.815772912	0.015405434	0.882816289
0.015756834	0.870610163	0.015729628	0.867483294	0.015683875	0.862240082	0.015608027	0.853580356	0.015480118	0.839049798	0.015256196	0.8134465	0.015791167	0.878865236
0.01615966	0.86897867	0.016131408	0.865814858	0.016083857	0.860509268	0.016005042	0.851746479	0.015872122	0.837043255	0.015636217	0.811107968	0.016198912	0.873001977
0.016578138	0.867308464	0.016548769	0.864104264	0.016499333	0.858734934	0.016417394	0.849866701	0.016279197	0.834986618	0.016033913	0.808791341	0.016618608	0.874442241
0.01701322	0.865587225	0.016982533	0.862349374	0.016931107	0.856915825	0.016845887	0.847939305	0.016702128	0.832878272	0.016446966	0.806366936	0.017055395	0.872238981
0.017465157	0.863838963	0.017433525	0.860550475	0.017380072	0.855049618	0.017291371	0.845962453	0.017141751	0.830716204	0.016876172	0.803881305	0.01750931	0.869595654
0.017936596	0.861948713	0.017902787	0.858705019	0.017847113	0.853134693	0.017754759	0.843934304	0.017598956	0.828498342	0.017322384	0.801332274	0.017982597	0.869017158
0.018419855	0.860159044	0.018391257	0.856809218	0.018333243	0.851169276	0.018237022	0.841852809	0.018074693	0.826222629	0.017786519	0.798717658	0.018472554	0.866224506
0.018934111	0.858348272	0.018899956	0.854863515	0.018839496	0.849151314	0.018739197	0.839715897	0.01856998	0.823886642	0.018269565	0.796033864	0.018986514	0.862578902
0.019468232	0.856322082	0.019430122	0.852863493	0.019367015	0.847078856	0.019262397	0.837542736	0.019085896	0.821488417	0.018772498	0.793279582	0.019520085	0.862378167
0.020021067	0.854300012	0.019982774	0.850809821	0.019917008	0.844949191	0.019809551	0.835258173	0.019623638	0.819024768	0.019296525	0.790451295	0.020075899	0.85978351
0.020600356	0.852244812	0.020559487	0.848698377	0.020490745	0.842760387	0.020376563	0.832932131	0.020184398	0.816492495	0.019842758	0.787545663	0.020656724	0.856900833
0.021203974	0.850108644	0.021161399	0.846527141	0.021089637	0.840510234	0.02097051	0.830570202	0.020769468	0.813891002	0.020412492	0.784574941	0.021262806	0.854868453
0.021834264	0.847918163	0.021790229	0.844294283	0.021715187	0.838195555	0.021590628	0.828119129	0.021380408	0.811216334	0.021008129	0.781486914	0.021895573	0.851392797
0.022492986	0.845693476	0.022447474	0.841995774	0.02236897	0.835813637	0.022238654	0.825599201	0.022018687	0.808464742	0.021628062	0.778324305	0.022558739	0.848572063
0.02318468	0.84336939	0.023134905	0.83962965	0.023052713	0.833362247	0.022916306	0.823005592	0.02268598	0.80563363	0.022276973	0.775091658	0.023250899	0.846650451
0.02390543	0.840982491	0.023854384	0.837193048	0.023768317	0.830837833	0.023625395	0.8203352	0.02338408	0.802719169	0.022955487	0.771751939	0.023975635	0.843433584
0.024662909	0.838506482	0.024607968	0.834682929	0.024517755	0.828237057	0.024367915	0.817584764	0.024114891	0.799717886	0.023665462	0.768314237	0.024735135	0.840476965
0.025452698	0.835990811	0.025397861	0.832095276	0.025303212	0.825556681	0.025145999	0.814750801	0.024880501	0.796626033	0.024408873	0.76477392	0.025530908	0.837504084
0.026286535	0.833382884	0.02622639	0.829426748	0.026127027	0.822793154	0.025961986	0.811828557	0.025683153	0.793439498	0.025187836	0.761126933	0.026365908	0.834236974
0.027158356	0.83066749	0.027096135	0.826673789	0.026991761	0.819941735	0.026818272	0.808815321	0.02652528	0.790154043	0.026004701	0.757368059	0.027242476	0.830900568
0.028074457	0.827892535	0.028009871	0.823832497	0.027900062	0.817001095	0.027717704	0.805706485	0.02740952	0.786765051	0.026861921	0.753492049	0.028163611	0.827430328
0.029038409	0.825029744	0.028970642	0.820897505	0.028855263	0.813963133	0.028663151	0.802497007	0.028338728	0.783267183	0.027762186	0.749494948	0.029132207	0.823873713
0.030053808	0.822059879	0.029981575	0.817868096	0.02986014	0.810824318	0.029657837	0.799182575	0.029315934	0.779657163	0.028708578	0.745367359	0.030151672	0.820078362
0.031122674	0.818985096	0.031046775	0.814733532	0.030918489	0.80758108	0.030705259	0.795756901	0.030344753	0.77591824	0.029703841	0.741109816	0.031225759	0.816327193
0.032249303	0.815811637	0.032169298	0.81149215	0.032034052	0.804228405	0.031809057	0.792217006	0.03142719	0.772078191	0.030752212	0.736711689	0.032357879	0.81275361
0.033438623	0.81252709	0.033354054	0.808145172	0.033211249	0.800759749	0.032973706	0.788553899	0.03257174	0.768093807	0.031857009	0.732163211	0.033552091	0.808476452
0.034694819	0.809125049	0.034606458	0.804663774	0.034454542	0.797169014	0.034203209	0.784764614	0.033778064	0.763963686	0.033022231	0.727461537	0.034814599	0.802718786
0.036023231	0.805601616	0.035928328	0.801070451	0.03576909	0.793450634	0.035503128	0.780841196	0.035052995	0.759697466	0.03425252	0.722599764	0.036152406	0.799074868
0.03742959	0.801949525	0.037329674	0.797347304	0.037160489	0.789596435	0.036878546	0.776794206	0.036401521	0.755278362	0.035553012	0.717568321	0.037563719	0.796548795
0.038920174	0.798158758	0.038813932	0.793479954	0.038634679	0.785599207	0.038339454	0.772601291	0.037829461	0.75069922	0.036929123	0.712356484	0.039058177	0.789675205
0.040501329	0.794235525	0.040388797	0.789466638	0.04019829	0.781452509	0.03989247	0.768142327	0.039343097	0.745952487	0.038386529	0.706957606	0.040651125	0.783182259
0.042183772	0.790112756	0.042060985	0.785303646	0.041858818	0.777149722	0.041521343	0.763613644	0.040949623	0.741033088	0.039932081	0.701361505	0.042339911	0.778753874
0.043962158	0.785893536	0.043840345	0.780974875	0.043624928	0.772678066	0.043265475	0.758945144	0.042657914	0.735913703	0.041572947	0.695557192	0.044136802	0.773443831
0.045868529	0.781510593	0.045734478	0.776474005	0.045505066	0.768029875	0.045122039	0.754050524	0.044472955	0.730605561	0.043317184	0.689533759	0.046048903	0.7680019
0.04790257	0.77687168	0.047754687	0.771789998	0.047509778	0.763194623	0.047100918	0.748961732	0.046407949	0.725092838	0.045173704	0.683280381	0.048088242	0.761652769
0.050063002	0.772090612	0.049911355	0.766915361	0.049649963	0.758163284	0.049213364	0.7436647	0.048472279	0.719356332	0.047152806	0.676778838	0.050266831	0.75464302
0.052381205	0.76712472	0.052218533	0.761833708	0.051938967	0.75291837	0.051470918	0.738151624	0.050677799	0.713387107	0.049264114	0.670023208	0.052598633	0.747791273
0.054866521	0.761909192	0.054688992	0.756528484	0.054389226	0.747451366	0.053888335	0.732407127	0.053037752	0.70717134	0.051521279	0.662996367	0.055095269	0.741204924
0.057528225	0.756487808	0.057336862	0.751014956	0.057017258	0.741757838	0.05648053	0.726416346	0.055566914	0.700694743	0.053937605	0.655680836	0.057773166	0.733526293
0.060396051	0.750796751	0.060189159	0.74523784	0.059843578	0.735804419	0.059264899	0.720165507	0.058282019	0.693941792	0.056528536	0.648061062	0.060653429	0.725573396
0.063473299	0.744867669	0.063255997	0.739198008	0.062884231	0.729583874	0.062261121	0.713638022	0.061201954	0.686894922	0.059311231	0.640119891	0.063753197	0.717455413
0.066798925	0.738669666	0.066565432	0.732879024	0.066164261	0.723078976	0.065491376	0.706815757	0.064347814	0.679536358	0.062305451	0.631837568	0.067098009	0.708439584
0.070394167	0.732163485	0.070139791	0.726270487	0.069707681	0.716273233	0.068980706	0.699679422	0.067743714	0.671847181	0.065533301	0.623192827	0.070714441	0.699094582
0.074286523	0.725349437	0.074013798	0.719343585	0.073545524	0.70914445	0.072757079	0.692214787	0.07141726	0.663806253	0.069019224	0.614168946	0.074631855	0.689400811
0.078514376	0.718196327	0.078219204	0.712072739	0.07771069	0.701670794	0.076856261	0.684389126	0.075399913	0.655390167	0.072793704	0.604742668	0.078884596	0.679503981
0.083113997	0.710684101	0.082794269	0.704440872	0.082242354	0.69382735	0.081312765	0.676183911	0.07972731	0.64657807	0.076891776	0.594864778	0.083509833	0.680986241
0.088133069	0.702785078	0.087785006	0.696422386	0.08718423	0.68559128	0.086171157	0.667575115	0.084442702	0.637334359	0.081340876	0.584547709	0.088454113	0.658174949
0.093623	0.694472564	0.093244431	0.687986598	0.092589334	0.676931903	0.091481971	0.658533317	0.089589473	0.627645155	0.086194978	0.573746825	0.094086449	0.640838213
0.099646473	0.685714124	0.099232962	0.679104249	0.098516653	0.667819106	0.097303771	0.649028433	0.095228214	0.617473735	0.091501226	0.562426614	0.100069239	0.627593196
0.106274376	0.676478429	0.105822606	0.669742263	0.105035584	0.658226955	0.103704968	0.639028845	0.101422541	0.606786243	0.09731835	0.550560423	0.106860088	0.610067715
0.113592832	0.666728074	0.113097727	0.659862649	0.112233265	0.648110425	0.110766432	0.62849967	0.108248851	0.595551318	0.103715353	0.538115515	0.114172652	0.606069183
0.121702613	0.656418239	0.121156236	0.64943038	0.12020376	0.637439178	0.118583651	0.617399165	0.115798399	0.583731343	0.11077419	0.525057576	0.122334876	0.585912358
0.130718227	0.645515121	0.130118593	0.638402845	0.129069682	0.626161013	0.127264077	0.605711513	0.124178458	0.571291178	0.11859358	0.511344657	0.13140224	0.569464878
0.140786235	0.633990179	0.140128849	0.626729603	0.138962522	0.614243627	0.136966169	0.593349756	0.133522094	0.55818045	0.127286644	0.496941688	0.141530215	0.551180613
0.152115417	0.621696601	0.151356916	0.614364081	0.150056189	0.601642077	0.147830861	0.580300648	0.143979121	0.544370237	0.136992107	0.481813667	0.152889263	0.531838535
0.16482066	0.608727782	0.164012959	0.601252864	0.162566295	0.588285391	0.16007268	0.566503261	0.155750109	0.529796484	0.147881662	0.465910419	0.16569168	0.511021494
0.17925559	0.594926986	0.178351531	0.587344379	0.176729813	0.574143163	0.173925996	0.551921994	0.169049886	0.514439322	0.160144853	0.449583505	0.180199288	0.489844595
0.195691881	0.580374791	0.194697907	0.572659201	0.192877094	0.559211729	0.189708491	0.536582431	0.184180083	0.498326423	0.174053926	0.431569832	0.196707914	0.458094387
0.19926968	0.577142896	0.198246056	0.569407331	0.196376814	0.555933762	0.193137042	0.533204788	0.187467269	0.49481797	0.177072698	0.428071248	0.200308402	0.4572441
0.202945835	0.574042285	0.201888756	0.566308952	0.199975273	0.552801548	0.196649235	0.529973274	0.190827203	0.491461573	0.180151933	0.424443958	0.203992267	0.455874542
0.206723974	0.570917504	0.205644357	0.563185199	0.203685674	0.549612184	0.200269455	0.526712521	0.194311764	0.488011375	0.183343108	0.420734379	0.207779297	0.449770713
0.210615738	0.567704562	0.209514477	0.559949498	0.207495107	0.546365473	0.2039928	0.523394097	0.197858506	0.484529613	0.186588892	0.416995554	0.211682006	0.445691708
0.214587975	0.564493752	0.213460176	0.556725297	0.211405695	0.543104965	0.207817098	0.520048452	0.201513485	0.48107513	0.189932236	0.413276295	0.215684534	0.441576646
0.218691996	0.561282398	0.217542212	0.553494106	0.215436588	0.539817351	0.211755947	0.516668136	0.205291704	0.477543178	0.193383099	0.409491338	0.21981108	0.437629031
0.222925541	0.558010005	0.221746828	0.550198065	0.219590131	0.536495292	0.215809328	0.513271105	0.209168931	0.47394404	0.196926993	0.405618556	0.224044446	0.430132098
0.22729041	0.554673954	0.226079602	0.546857424	0.223880442	0.533086757	0.220003266	0.509777657	0.213146117	0.470385549	0.200541631	0.401866949	0.228433662	0.422503533
0.231780331	0.551297006	0.230542763	0.543473139	0.228274333	0.529656445	0.224289371	0.506277299	0.217285551	0.466716663	0.204361167	0.397879526	0.232939992	0.419291682
0.236409121	0.547877163	0.2351429	0.540040632	0.232811165	0.526205715	0.228726151	0.50274326	0.221508709	0.463022702	0.208178863	0.393910108	0.237584891	0.412842618
0.241174731	0.544431925	0.239880149	0.536586753	0.237488329	0.522723537	0.2332881	0.499179814	0.22587948	0.459319673	0.212156447	0.390026019	0.24237882	0.408038359
0.246103306	0.540941437	0.244781372	0.533101301	0.242329092	0.519177868	0.238012887	0.495561223	0.230390222	0.455545561	0.216292054	0.385940681	0.247311378	0.404242634
0.251191011	0.537374398	0.24985537	0.529492038	0.247315733	0.515570606	0.24287816	0.49188421	0.235034076	0.451735041	0.220480998	0.381997495	0.252397169	0.397137154
0.256425161	0.533792667	0.255041481	0.525859524	0.252454227	0.511935477	0.247894434	0.488185411	0.23982412	0.447897972	0.224940069	0.377721386	0.257658835	0.388636222
0.261850811	0.529468299	0.260394568	0.522283199	0.257762139	0.508277022	0.253081466	0.484430273	0.244773992	0.444010116	0.229308947	0.373583496	0.263098668	0.384994348
0.266709579	0.527041379	0.265981231	0.518616534	0.263259179	0.504535801	0.258426454	0.480638202	0.249878193	0.440081598	0.233930763	0.369548404	0.268690752	0.36483847
0.273245515	0.523231858	0.271750622	0.51481053	0.268911939	0.500786273	0.263951348	0.476831847	0.255149893	0.436125525	0.238711498	0.365347815	0.274616849	0.374446135
0.279186176	0.51893549	0.277658576	0.511034615	0.274787719	0.496989618	0.269684972	0.472960462	0.260605123	0.432130585	0.243640991	0.361141681	0.280469804	0.381284449
0.285380856	0.515120126	0.283808969	0.507215914	0.280862263	0.493115569	0.27561179	0.469025497	0.266253616	0.428148898	0.248775675	0.356819921	0.28665913	0.360830278
0.29177651	0.511218736	0.290161193	0.503325492	0.287138933	0.489199019	0.281738801	0.465040662	0.272180112	0.423888134	0.254023276	0.352465399	0.293059366	0.354467686
0.298386018	0.507267981	0.296734732	0.499388068	0.29363202	0.485227718	0.288067716	0.46100336	0.278099293	0.419774555	0.25944155	0.348140053	0.299686336	0.348012559
0.305209179	0.503317618	0.303532486	0.495418378	0.300334791	0.481228187	0.294595673	0.456977439	0.284353254	0.415662587	0.265066227	0.343792124	0.306545482	0.340772758
0.312321055	0.499288612	0.310588648	0.491391519	0.307283278	0.477218676	0.301398958	0.45289469	0.290806924	0.411465809	0.270923933	0.339318378	0.31366176	0.334049523
0.319671362	0.495175815	0.317892221	0.487321499	0.314518568	0.473118404	0.308446542	0.448728024	0.297530307	0.407210179	0.276921715	0.334839995	0.321028011	0.328585594
0.32726489	0.491085162	0.325483187	0.483271678	0.321995974	0.468971056	0.315733722	0.44453968	0.304492387	0.402840419	0.283150847	0.330353964	0.328661876	0.321794548
0.335216907	0.486884921	0.333469526	0.478933391	0.329766646	0.464787947	0.323309655	0.440303765	0.311631708	0.398550296	0.289607735	0.325816674	0.336586864	0.316204886
0.34342534	0.482617098	0.341511515	0.474694169	0.337839936	0.460527568	0.331166926	0.436017468	0.319143662	0.394175816	0.296298402	0.321245962	0.344791999	0.308792431
0.35194842	0.478390142	0.349981734	0.470486852	0.346198178	0.456241389	0.339329099	0.431693733	0.326905408	0.389701463	0.303245596	0.316630296	0.353341852	0.302449131
0.360933324	0.473901018	0.358799538	0.466153913	0.354906735	0.451909238	0.347823652	0.427308471	0.334923946	0.385272364	0.310447537	0.311983655	0.362188524	0.296214731
0.370014704	0.469512289	0.367971869	0.461741266	0.363966896	0.447503482	0.3566433	0.422875375	0.343338937	0.380759105	0.317935907	0.30728651	0.371413141	0.288443108
0.379615287	0.465093968	0.377483514	0.457401584	0.373377609	0.443069984	0.365817688	0.418401455	0.352060073	0.376184822	0.325692625	0.302575705	0.380992617	0.282530409
0.389589733	0.460562513	0.387599124	0.452733471	0.383210584	0.438542142	0.375369638	0.413885468	0.361136538	0.371605819	0.333787898	0.297826079	0.390961551	0.274674354
0.399977908	0.455987298	0.397779852	0.448166362	0.393386035	0.433999497	0.385332273	0.409310609	0.370642875	0.366898615	0.34222145	0.292991685	0.401358733	0.267171213
0.410816636	0.451371239	0.408550342	0.443617833	0.404036057	0.429408865	0.39570947	0.404686078	0.380421629	0.362227309	0.35093135	0.288174783	0.412185618	0.261398134
0.422168739	0.446623832	0.419781764	0.438961349	0.415144133	0.424749488	0.406532559	0.400015957	0.390699466	0.3575086	0.360056287	0.283307374	0.423458299	0.253762121
0.433918107	0.44188225	0.431531981	0.434280754	0.426736532	0.420036309	0.417829859	0.395300114	0.401396431	0.352749957	0.369530354	0.278419222	0.435248059	0.245909397
0.44628534	0.437040978	0.443922811	0.429259744	0.438842077	0.415273949	0.42963765	0.390529068	0.412613033	0.3479174	0.379451985	0.273469077	0.447545053	0.239235314
0.459117534	0.432159752	0.456272627	0.424695105	0.451503982	0.410448596	0.441973082	0.385771076	0.42428223	0.343041754	0.389752186	0.268505343	0.460397125	0.231621663
0.472579175	0.427232515	0.47001625	0.419787692	0.464730654	0.4055916	0.455043905	0.380774648	0.43645949	0.338183	0.400533989	0.263514198	0.473843439	0.224485337
